TABLE NO.  1
 ID          CELLINE     ADDITIVE    ADDITIVECONC DRUG        DAY         REP         DRUGCONC    DV          Y           IPRED       IRES        IWRES       CWRES       TOP         BOTTOM      IC50        GAMMA       TVTOP       TVBOTTOM    TVIC50      TVGAMMA     IMAX        ETA1        ETA2        ETA3        ETA4        DV          PRED        RES         WRES
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  9.2850E-01  9.9779E-01  9.9779E-01 -6.9296E-02 -2.4493E-01 -2.9848E-01  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  9.2850E-01  1.0041E+00 -7.5608E-02 -2.9699E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  7.6208E-04  8.7936E-01  9.4214E-01  9.4214E-01 -6.2777E-02 -2.3499E-01 -2.8619E-01  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  8.7936E-01  9.4698E-01 -6.7616E-02 -2.8522E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  2.2862E-03  7.8998E-01  8.4560E-01  8.4560E-01 -5.5614E-02 -2.3195E-01 -2.7840E-01  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  7.8998E-01  8.4787E-01 -5.7885E-02 -2.7830E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  6.8587E-03  6.4047E-01  6.5204E-01  6.5204E-01 -1.1570E-02 -6.2581E-02 -9.6041E-02  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  6.4047E-01  6.4916E-01 -8.6818E-03 -9.7455E-02
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  2.0576E-02  2.3344E-01  4.1138E-01  4.1138E-01 -1.7794E-01 -1.5255E+00 -1.5299E+00  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  2.3344E-01  4.0207E-01 -1.6864E-01 -1.5647E+00
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  6.1728E-02  2.3286E-01  2.4149E-01  2.4149E-01 -8.6276E-03 -1.2599E-01 -8.4382E-02  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  2.3286E-01  2.2766E-01  5.2001E-03 -8.9872E-02
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  1.8519E-01  1.3957E-01  1.6349E-01  1.6349E-01 -2.3926E-02 -5.1610E-01 -4.2825E-01  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  1.3957E-01  1.4760E-01 -8.0295E-03 -4.7194E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  5.5556E-01  1.1529E-01  1.3477E-01  1.3477E-01 -1.9482E-02 -5.0982E-01 -3.9334E-01  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  1.1529E-01  1.1811E-01 -2.8271E-03 -4.4496E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  1.6667E+00  1.1290E-01  1.2507E-01  1.2507E-01 -1.2175E-02 -3.4332E-01 -2.1450E-01  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  1.1290E-01  1.0816E-01  4.7350E-03 -2.4596E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  0.0000E+00  8.1962E-01  9.9779E-01  9.9779E-01 -1.7818E-01 -6.2977E-01 -6.8332E-01  9.9778E-01  1.2036E-01  1.0418E-02  1.0295E+00  1.0041E+00  1.0333E-01  1.0417E-02  1.0295E+00  8.7937E-01 -6.3062E-03  1.5259E-01  3.3731E-05 -6.6131E-05  8.1962E-01  1.0041E+00 -1.8449E-01 -6.7910E-01
