TABLE NO.  1
 ID          CELLINE     ADDITIVE    ADDITIVECONC DRUG        DAY         REP         DRUGCONC    DV          Y           IPRED       IRES        IWRES       CWRES       TOP         BOTTOM      IC50        GAMMA       TVTOP       TVBOTTOM    TVIC50      TVGAMMA     IMAX        ETA1        ETA2        ETA3        ETA4        DV          PRED        RES         WRES
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  9.2850E-01  1.0700E+00  1.0700E+00 -1.4150E-01 -4.5181E-01 -4.5181E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.2850E-01  1.0700E+00 -1.4150E-01 -4.5181E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  7.6208E-04  8.7936E-01  9.1701E-01  9.1701E-01 -3.7653E-02 -1.4028E-01 -1.4028E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.7936E-01  9.1701E-01 -3.7653E-02 -1.4028E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  2.2862E-03  7.8998E-01  7.8738E-01  7.8738E-01  2.5976E-03  1.1271E-02  1.1271E-02  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  7.8998E-01  7.8738E-01  2.5976E-03  1.1271E-02
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  6.8587E-03  6.4047E-01  6.0863E-01  6.0863E-01  3.1845E-02  1.7876E-01  1.7876E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.4047E-01  6.0863E-01  3.1845E-02  1.7876E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  2.0576E-02  2.3344E-01  4.2090E-01  4.2090E-01 -1.8747E-01 -1.5216E+00 -1.5216E+00  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.3344E-01  4.2090E-01 -1.8747E-01 -1.5216E+00
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  6.1728E-02  2.3286E-01  2.7254E-01  2.7254E-01 -3.9673E-02 -4.9732E-01 -4.9732E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.3286E-01  2.7254E-01 -3.9673E-02 -4.9732E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  1.8519E-01  1.3957E-01  1.7946E-01  1.7946E-01 -3.9897E-02 -7.5952E-01 -7.5952E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3957E-01  1.7946E-01 -3.9897E-02 -7.5952E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  5.5556E-01  1.1529E-01  1.2926E-01  1.2926E-01 -1.3974E-02 -3.6933E-01 -3.6933E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1529E-01  1.2926E-01 -1.3974E-02 -3.6933E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  1.6667E+00  1.1290E-01  1.0437E-01  1.0437E-01  8.5282E-03  2.7917E-01  2.7917E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1290E-01  1.0437E-01  8.5282E-03  2.7917E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  0.0000E+00  8.1962E-01  1.0700E+00  1.0700E+00 -2.5039E-01 -7.9945E-01 -7.9945E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  1.0700E+00  8.2341E-02  8.2508E-03  7.1229E-01  9.2304E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.1962E-01  1.0700E+00 -2.5039E-01 -7.9945E-01
