CELLINE,CELLINE_NAME,DRUG_NAME,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV
1,WT,Dactolisib,6,3,1,0,72.9579069940292
1,WT,Dactolisib,6,3,1,0.000762078951379363,64.2469588484503
1,WT,Dactolisib,6,3,1,0.00228623685413809,66.0827986026807
1,WT,Dactolisib,6,3,1,0.00685871056241427,49.0696925401977
1,WT,Dactolisib,6,3,1,0.0205761316872428,41.830389217848
1,WT,Dactolisib,6,3,1,0.0617283950617284,31.3058989668756
1,WT,Dactolisib,6,3,1,0.185185185185185,24.6686321631197
1,WT,Dactolisib,6,3,1,0.555555555555556,24.9139063003246
1,WT,Dactolisib,6,3,1,1.66666666666667,26.8463691995144
1,WT,Dactolisib,6,3,2,0,76.6444516017144
1,WT,Dactolisib,6,3,2,0.000762078951379363,71.1666625374724
1,WT,Dactolisib,6,3,2,0.00228623685413809,65.317245992617
1,WT,Dactolisib,6,3,2,0.00685871056241427,47.4122339766618
1,WT,Dactolisib,6,3,2,0.0205761316872428,44.9223298565518
1,WT,Dactolisib,6,3,2,0.0617283950617284,29.0687015335827
1,WT,Dactolisib,6,3,2,0.185185185185185,28.2288234273964
1,WT,Dactolisib,6,3,2,0.555555555555556,27.5227312142309
1,WT,Dactolisib,6,3,2,1.66666666666667,23.5834799197285
1,WT,Dactolisib,6,3,3,0,70.3565146297351
1,WT,Dactolisib,6,3,3,0.000762078951379363,80.8810048807076
1,WT,Dactolisib,6,3,3,0.00228623685413809,65.0942695042489
1,WT,Dactolisib,6,3,3,0.00685871056241427,49.7163243564651
1,WT,Dactolisib,6,3,3,0.0205761316872428,38.0472214652033
1,WT,Dactolisib,6,3,3,0.0617283950617284,29.4180313653594
1,WT,Dactolisib,6,3,3,0.185185185185185,26.0362212917771
1,WT,Dactolisib,6,3,3,0.555555555555556,22.7733320119912
1,WT,Dactolisib,6,3,3,1.66666666666667,22.2679186383569
1,WT,Dactolisib,4.5,3,1,0,91.2318674686258
1,WT,Dactolisib,4.5,3,1,0.000762078951379363,108.920060771296
1,WT,Dactolisib,4.5,3,1,0.00228623685413809,97.9063039813524
1,WT,Dactolisib,4.5,3,1,0.00685871056241427,52.5276280463693
1,WT,Dactolisib,4.5,3,1,0.0205761316872428,37.3930778996441
1,WT,Dactolisib,4.5,3,1,0.0617283950617284,26.1358196840725
1,WT,Dactolisib,4.5,3,1,0.185185185185185,17.5882952818997
1,WT,Dactolisib,4.5,3,1,0.555555555555556,20.4666070053487
1,WT,Dactolisib,4.5,3,1,1.66666666666667,16.3645445274616
1,WT,Dactolisib,4.5,3,2,0,101.321567566443
1,WT,Dactolisib,4.5,3,2,0.000762078951379363,103.993839622052
1,WT,Dactolisib,4.5,3,2,0.00228623685413809,90.0393348456784
1,WT,Dactolisib,4.5,3,2,0.00685871056241427,51.1665175133718
1,WT,Dactolisib,4.5,3,2,0.0205761316872428,30.4501654560969
1,WT,Dactolisib,4.5,3,2,0.0617283950617284,25.0431850818956
1,WT,Dactolisib,4.5,3,2,0.185185185185185,21.8526920435389
1,WT,Dactolisib,4.5,3,2,0.555555555555556,23.4760348810589
1,WT,Dactolisib,4.5,3,2,1.66666666666667,16.3083518907782
1,WT,Dactolisib,4.5,3,3,0,91.6252159254095
1,WT,Dactolisib,4.5,3,3,0.000762078951379363,89.8020770463485
1,WT,Dactolisib,4.5,3,3,0.00228623685413809,90.6886719806864
1,WT,Dactolisib,4.5,3,3,0.00685871056241427,50.2799225790339
1,WT,Dactolisib,4.5,3,3,0.0205761316872428,43.4369081562572
1,WT,Dactolisib,4.5,3,3,0.0617283950617284,30.4876272138858
1,WT,Dactolisib,4.5,3,3,0.185185185185185,21.696601386085
1,WT,Dactolisib,4.5,3,3,0.555555555555556,26.0484089158984
1,WT,Dactolisib,4.5,3,3,1.66666666666667,15.9836833232742
1,WT,Dactolisib,3,3,1,0,109.301770202096
1,WT,Dactolisib,3,3,1,0.000762078951379363,84.4592375891818
1,WT,Dactolisib,3,3,1,0.00228623685413809,77.3664885518971
1,WT,Dactolisib,3,3,1,0.00685871056241427,66.8885638377265
1,WT,Dactolisib,3,3,1,0.0205761316872428,46.1745126720201
1,WT,Dactolisib,3,3,1,0.0617283950617284,35.1592584853279
1,WT,Dactolisib,3,3,1,0.185185185185185,26.7858742052001
1,WT,Dactolisib,3,3,1,0.555555555555556,20.5080748679065
1,WT,Dactolisib,3,3,1,1.66666666666667,16.4960148064121
1,WT,Dactolisib,3,3,2,0,137.959342069913
1,WT,Dactolisib,3,3,2,0.000762078951379363,83.2054688199648
1,WT,Dactolisib,3,3,2,0.00228623685413809,77.5097764112361
1,WT,Dactolisib,3,3,2,0.00685871056241427,65.6168840860921
1,WT,Dactolisib,3,3,2,0.0205761316872428,49.7656646467059
1,WT,Dactolisib,3,3,2,0.0617283950617284,32.4547001403027
1,WT,Dactolisib,3,3,2,0.185185185185185,24.8246216304964
