CELLINE,CELLINE_NAME,DRUG_NAME,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV
1,WT,Erlotinib,6,1,1,0,72.82790209
1,WT,Erlotinib,6,1,1,0.0266727632982777,117.4865213
1,WT,Erlotinib,6,1,1,0.0800182898948331,106.76559
1,WT,Erlotinib,6,1,1,0.240054869684499,88.32959588
1,WT,Erlotinib,6,1,1,0.720164609053498,72.69907915
1,WT,Erlotinib,6,1,1,2.16049382716049,54.33465337
1,WT,Erlotinib,6,1,1,6.48148148148148,40.49334415
1,WT,Erlotinib,6,1,1,19.4444444444444,25.82184265
1,WT,Erlotinib,6,1,1,58.3333333333333,20.85500262
1,WT,Erlotinib,6,1,2,0,75.79082972
1,WT,Erlotinib,6,1,2,0.0266727632982777,84.52216232
1,WT,Erlotinib,6,1,2,0.0800182898948331,71.68280929
1,WT,Erlotinib,6,1,2,0.240054869684499,72.11221909
1,WT,Erlotinib,6,1,2,0.720164609053498,58.08483229
1,WT,Erlotinib,6,1,2,2.16049382716049,45.83233933
1,WT,Erlotinib,6,1,2,6.48148148148148,31.90514815
1,WT,Erlotinib,6,1,2,19.4444444444444,24.6194952
1,WT,Erlotinib,6,1,2,58.3333333333333,20.3969655
1,WT,Erlotinib,6,1,3,0,184.1309223
1,WT,Erlotinib,6,1,3,0.0266727632982777,223.5793692
1,WT,Erlotinib,6,1,3,0.0800182898948331,220.8168329
1,WT,Erlotinib,6,1,3,0.240054869684499,227.4583711
1,WT,Erlotinib,6,1,3,0.720164609053498,196.4549835
1,WT,Erlotinib,6,1,3,2.16049382716049,136.2231022
1,WT,Erlotinib,6,1,3,6.48148148148148,60.28913593
1,WT,Erlotinib,6,1,3,19.4444444444444,37.27277065
1,WT,Erlotinib,6,1,3,58.3333333333333,23.4744024
1,WT,Erlotinib,4.5,1,1,0,102.3633325
1,WT,Erlotinib,4.5,1,1,0.0266727632982777,124.2937853
1,WT,Erlotinib,4.5,1,1,0.0800182898948331,122.758017
1,WT,Erlotinib,4.5,1,1,0.240054869684499,126.4502268
1,WT,Erlotinib,4.5,1,1,0.720164609053498,109.2146097
1,WT,Erlotinib,4.5,1,1,2.16049382716049,75.73008674
1,WT,Erlotinib,4.5,1,1,6.48148148148148,33.51635235
1,WT,Erlotinib,4.5,1,1,19.4444444444444,20.72093578
1,WT,Erlotinib,4.5,1,1,58.3333333333333,13.05005172
1,WT,Erlotinib,4.5,1,2,0,64.17601655
1,WT,Erlotinib,4.5,1,2,0.0266727632982777,103.9309302
1,WT,Erlotinib,4.5,1,2,0.0800182898948331,76.03246598
1,WT,Erlotinib,4.5,1,2,0.240054869684499,54.62719822
1,WT,Erlotinib,4.5,1,2,0.720164609053498,58.35123737
1,WT,Erlotinib,4.5,1,2,2.16049382716049,46.57436142
1,WT,Erlotinib,4.5,1,2,6.48148148148148,23.51396515
1,WT,Erlotinib,4.5,1,2,19.4444444444444,14.81658311
1,WT,Erlotinib,4.5,1,2,58.3333333333333,12.8988621
1,WT,Erlotinib,4.5,1,3,0,67.24755312
1,WT,Erlotinib,4.5,1,3,0.0266727632982777,71.77528448
1,WT,Erlotinib,4.5,1,3,0.0800182898948331,85.35847855
1,WT,Erlotinib,4.5,1,3,0.240054869684499,84.8094215
1,WT,Erlotinib,4.5,1,3,0.720164609053498,72.08562107
1,WT,Erlotinib,4.5,1,3,2.16049382716049,45.06246519
1,WT,Erlotinib,4.5,1,3,6.48148148148148,27.62791438
1,WT,Erlotinib,4.5,1,3,19.4444444444444,16.20116177
1,WT,Erlotinib,4.5,1,3,58.3333333333333,13.06596642
1,WT,Erlotinib,3,1,1,0,71.2114343
1,WT,Erlotinib,3,1,1,0.0266727632982777,95.56419862
1,WT,Erlotinib,3,1,1,0.0800182898948331,123.1811783
1,WT,Erlotinib,3,1,1,0.240054869684499,134.333914
1,WT,Erlotinib,3,1,1,0.720164609053498,47.49576463
1,WT,Erlotinib,3,1,1,2.16049382716049,43.82352239
1,WT,Erlotinib,3,1,1,6.48148148148148,25.72001241
1,WT,Erlotinib,3,1,1,19.4444444444444,16.17075091
1,WT,Erlotinib,3,1,1,58.3333333333333,14.8750865
1,WT,Erlotinib,3,1,2,0,74.16783984
1,WT,Erlotinib,3,1,2,0.0266727632982777,74.7190341
1,WT,Erlotinib,3,1,2,0.0800182898948331,145.0571476
1,WT,Erlotinib,3,1,2,0.240054869684499,118.1416879
