CELLINE,CELLINE_NAME,DRUG_NAME,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV
1,WT,Dactolisib,6,1,1,0,69.8505568870717
1,WT,Dactolisib,6,1,1,0.000762078951379363,62.3643028337798
1,WT,Dactolisib,6,1,1,0.00228623685413809,66.889891442267
1,WT,Dactolisib,6,1,1,0.00685871056241427,51.282955026082
1,WT,Dactolisib,6,1,1,0.0205761316872428,27.5764838573241
1,WT,Dactolisib,6,1,1,0.0617283950617284,18.9271112364303
1,WT,Dactolisib,6,1,1,0.185185185185185,12.9317637107007
1,WT,Dactolisib,6,1,1,0.555555555555556,10.6795432116171
1,WT,Dactolisib,6,1,1,1.66666666666667,9.69617933173551
1,WT,Dactolisib,6,1,2,0,79.0391935711265
1,WT,Dactolisib,6,1,2,0.000762078951379363,62.0576624841393
1,WT,Dactolisib,6,1,2,0.00228623685413809,50.6908219371211
1,WT,Dactolisib,6,1,2,0.00685871056241427,42.0520231213873
1,WT,Dactolisib,6,1,2,0.0205761316872428,30.008459044128
1,WT,Dactolisib,6,1,2,0.0617283950617284,18.8213731848301
1,WT,Dactolisib,6,1,2,0.185185185185185,11.8320879740589
1,WT,Dactolisib,6,1,2,0.555555555555556,10.6901170167771
1,WT,Dactolisib,6,1,2,1.66666666666667,9.54814605949528
1,WT,Dactolisib,6,1,3,0,121.926547300155
1,WT,Dactolisib,6,1,3,0.000762078951379363,69.977442548992
1,WT,Dactolisib,6,1,3,0.00228623685413809,46.8419568588749
1,WT,Dactolisib,6,1,3,0.00685871056241427,36.1729874524179
1,WT,Dactolisib,6,1,3,0.0205761316872428,24.7638516847596
1,WT,Dactolisib,6,1,3,0.0617283950617284,17.2458762159876
1,WT,Dactolisib,6,1,3,0.185185185185185,15.9558719864655
1,WT,Dactolisib,6,1,3,0.555555555555556,10.5420837445369
1,WT,Dactolisib,6,1,3,1.66666666666667,9.24150570985479
1,WT,Dactolisib,4.5,1,1,0,80.2871627872553
1,WT,Dactolisib,4.5,1,1,0.000762078951379363,87.1257817414795
1,WT,Dactolisib,4.5,1,1,0.00228623685413809,52.965991932798
1,WT,Dactolisib,4.5,1,1,0.00685871056241427,53.632091181586
1,WT,Dactolisib,4.5,1,1,0.0205761316872428,27.6431188247049
1,WT,Dactolisib,4.5,1,1,0.0617283950617284,17.251970543611
1,WT,Dactolisib,4.5,1,1,0.185185185185185,15.9530770084743
1,WT,Dactolisib,4.5,1,1,0.555555555555556,11.9786848240388
1,WT,Dactolisib,4.5,1,1,1.66666666666667,10.7464012137809
1,WT,Dactolisib,4.5,1,2,0,90.5450912185916
1,WT,Dactolisib,4.5,1,2,0.000762078951379363,68.8080523998076
1,WT,Dactolisib,4.5,1,2,0.00228623685413809,66.2990785627058
1,WT,Dactolisib,4.5,1,2,0.00685871056241427,53.0770084742627
1,WT,Dactolisib,4.5,1,2,0.0205761316872428,27.9761684490989
1,WT,Dactolisib,4.5,1,2,0.0617283950617284,21.9923768641528
1,WT,Dactolisib,4.5,1,2,0.185185185185185,14.831809939681
1,WT,Dactolisib,4.5,1,2,0.555555555555556,11.4569070791548
1,WT,Dactolisib,4.5,1,2,1.66666666666667,10.6020797098768
1,WT,Dactolisib,4.5,1,3,0,132.931206749806
1,WT,Dactolisib,4.5,1,3,0.000762078951379363,79.5433519594419
