CELLINE,CELLINE_NAME,DRUG_NAME,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV
1,WT,Dactolisib,6,4,1,0,96.8774308256473
1,WT,Dactolisib,6,4,1,0.000762078951379363,86.3873763751528
1,WT,Dactolisib,6,4,1,0.00228623685413809,66.3629292143572
1,WT,Dactolisib,6,4,1,0.00685871056241427,56.9618846538504
1,WT,Dactolisib,6,4,1,0.0205761316872428,34.4816090676742
1,WT,Dactolisib,6,4,1,0.0617283950617284,23.0136681853539
1,WT,Dactolisib,6,4,1,0.185185185185185,15.5683964884987
1,WT,Dactolisib,6,4,1,0.555555555555556,12.8014223802645
1,WT,Dactolisib,6,4,1,1.66666666666667,10.7345260584509
1,WT,Dactolisib,6,4,2,0,88.3542615846205
1,WT,Dactolisib,6,4,2,0.000762078951379363,87.3763751527948
1,WT,Dactolisib,6,4,2,0.00228623685413809,108.800977886432
1,WT,Dactolisib,6,4,2,0.00685871056241427,84.5205022780309
1,WT,Dactolisib,6,4,2,0.0205761316872428,35.8928769863318
1,WT,Dactolisib,6,4,2,0.0617283950617284,23.7915323924881
1,WT,Dactolisib,6,4,2,0.185185185185185,14.7460828980998
1,WT,Dactolisib,6,4,2,0.555555555555556,12.8680964551617
1,WT,Dactolisib,6,4,2,1.66666666666667,10.7900877875319
1,WT,Dactolisib,6,4,3,0,88.0320035559507
1,WT,Dactolisib,6,4,3,0.000762078951379363,121.68018668741
1,WT,Dactolisib,6,4,3,0.00228623685413809,83.9648849872208
1,WT,Dactolisib,6,4,3,0.00685871056241427,72.963662629181
1,WT,Dactolisib,6,4,3,0.0205761316872428,25.3250361151239
1,WT,Dactolisib,6,4,3,0.0617283950617284,24.4804978330926
1,WT,Dactolisib,6,4,3,0.185185185185185,16.8129792199133
1,WT,Dactolisib,6,4,3,0.555555555555556,13.0792310256695
1,WT,Dactolisib,6,4,3,1.66666666666667,9.96777419713301
1,WT,Dactolisib,4.5,4,1,0,95.0366037339311
1,WT,Dactolisib,4.5,4,1,0.000762078951379363,113.667729167396
1,WT,Dactolisib,4.5,4,1,0.00228623685413809,110.210515254475
1,WT,Dactolisib,4.5,4,1,0.00685871056241427,73.4106273424638
1,WT,Dactolisib,4.5,4,1,0.0205761316872428,36.3480332060668
1,WT,Dactolisib,4.5,4,1,0.0617283950617284,20.0812637920768
1,WT,Dactolisib,4.5,4,1,0.185185185185185,14.1651196189008
1,WT,Dactolisib,4.5,4,1,0.555555555555556,12.8515884969701
1,WT,Dactolisib,4.5,4,1,1.66666666666667,10.8760376895863
1,WT,Dactolisib,4.5,4,2,0,96.0559038845494
1,WT,Dactolisib,4.5,4,2,0.000762078951379363,89.6038390136257
1,WT,Dactolisib,4.5,4,2,0.00228623685413809,78.6227188342849
1,WT,Dactolisib,4.5,4,2,0.00685871056241427,54.5798451784651
1,WT,Dactolisib,4.5,4,2,0.0205761316872428,38.7123892255421
1,WT,Dactolisib,4.5,4,2,0.0617283950617284,14.9322217941084
1,WT,Dactolisib,4.5,4,2,0.185185185185185,13.9864793863183
1,WT,Dactolisib,4.5,4,2,0.555555555555556,12.9251462397982
1,WT,Dactolisib,4.5,4,2,1.66666666666667,11.4539913832358
1,WT,Dactolisib,4.5,4,3,0,105.944166170444
1,WT,Dactolisib,4.5,4,3,0.000762078951379363,118.102210235035
1,WT,Dactolisib,4.5,4,3,0.00228623685413809,103.148971942975
1,WT,Dactolisib,4.5,4,3,0.00685871056241427,86.9872850187397
1,WT,Dactolisib,4.5,4,3,0.0205761316872428,39.0276366948054
1,WT,Dactolisib,4.5,4,3,0.0617283950617284,22.939507513398
1,WT,Dactolisib,4.5,4,3,0.185185185185185,17.4436932992399
1,WT,Dactolisib,4.5,4,3,0.555555555555556,13.3034432029143
1,WT,Dactolisib,4.5,4,3,1.66666666666667,11.8953378402046
1,WT,Dactolisib,3,4,1,0,87.5131378199695
1,WT,Dactolisib,3,4,1,0.000762078951379363,80.9628750635701
1,WT,Dactolisib,3,4,1,0.00228623685413809,78.4607560603492
1,WT,Dactolisib,3,4,1,0.00685871056241427,62.5326326496016
1,WT,Dactolisib,3,4,1,0.0205761316872428,35.0601796914731
1,WT,Dactolisib,3,4,1,0.0617283950617284,24.1362942871673
1,WT,Dactolisib,3,4,1,0.185185185185185,16.5383963383624
1,WT,Dactolisib,3,4,1,0.555555555555556,13.6802847940329
1,WT,Dactolisib,3,4,1,1.66666666666667,12.8564163417528
1,WT,Dactolisib,3,4,2,0,154.836412951348
1,WT,Dactolisib,3,4,2,0.000762078951379363,104.153246312934
1,WT,Dactolisib,3,4,2,0.00228623685413809,93.371757925072
1,WT,Dactolisib,3,4,2,0.00685871056241427,59.8576029835565
1,WT,Dactolisib,3,4,2,0.0205761316872428,37.8776063739617
1,WT,Dactolisib,3,4,2,0.0617283950617284,23.8006441769792
1,WT,Dactolisib,3,4,2,0.185185185185185,16.1010340735718
1,WT,Dactolisib,3,4,2,0.555555555555556,13.3853195456857
1,WT,Dactolisib,3,4,2,1.66666666666667,11.8799796575691
1,WT,Dactolisib,3,4,3,0,125.512798779454
1,WT,Dactolisib,3,4,3,0.000762078951379363,110.581454483811
1,WT,Dactolisib,3,4,3,0.00228623685413809,72.6733344634684
1,WT,Dactolisib,3,4,3,0.00685871056241427,57.3656551957959
1,WT,Dactolisib,3,4,3,0.0205761316872428,29.9644007458891
1,WT,Dactolisib,3,4,3,0.0617283950617284,19.9762671639261
1,WT,Dactolisib,3,4,3,0.185185185185185,15.083912527547
1,WT,Dactolisib,3,4,3,0.555555555555556,13.070011866418
1,WT,Dactolisib,3,4,3,1.66666666666667,11.6968977792846
1,WT,Dactolisib,0,4,1,0,109.200939362919
1,WT,Dactolisib,0,4,1,0.000762078951379363,102.96862768712
1,WT,Dactolisib,0,4,1,0.00228623685413809,84.660083097489
1,WT,Dactolisib,0,4,1,0.00685871056241427,53.0920696092009
1,WT,Dactolisib,0,4,1,0.0205761316872428,34.6299753116156
1,WT,Dactolisib,0,4,1,0.0617283950617284,19.9343650267959
1,WT,Dactolisib,0,4,1,0.185185185185185,14.4065755404348
1,WT,Dactolisib,0,4,1,0.555555555555556,13.5756006503282
1,WT,Dactolisib,0,4,1,1.66666666666667,10.7123502137653
1,WT,Dactolisib,0,4,2,0,78.7258385018366
1,WT,Dactolisib,0,4,2,0.000762078951379363,103.302824110315
1,WT,Dactolisib,0,4,2,0.00228623685413809,53.0649726019149
1,WT,Dactolisib,0,4,2,0.00685871056241427,52.0714156680918
1,WT,Dactolisib,0,4,2,0.0205761316872428,34.5757812970434
1,WT,Dactolisib,0,4,2,0.0617283950617284,19.0401637863552
1,WT,Dactolisib,0,4,2,0.185185185185185,14.6233515987234
1,WT,Dactolisib,0,4,2,0.555555555555556,11.8775215270669
1,WT,Dactolisib,0,4,2,1.66666666666667,10.8297705786716
1,WT,Dactolisib,0,4,3,0,103.673149876558
1,WT,Dactolisib,0,4,3,0.000762078951379363,97.865357981574
1,WT,Dactolisib,0,4,3,0.00228623685413809,96.0408261576444
1,WT,Dactolisib,0,4,3,0.00685871056241427,74.1916059492985
1,WT,Dactolisib,0,4,3,0.0205761316872428,36.4545071355453
1,WT,Dactolisib,0,4,3,0.0617283950617284,24.7485999879569
1,WT,Dactolisib,0,4,3,0.185185185185185,16.5472391160354
1,WT,Dactolisib,0,4,3,0.555555555555556,13.2414042271331
1,WT,Dactolisib,0,4,3,1.66666666666667,11.0555789727223
2,R183W,Dactolisib,6,4,1,0,89.9522409992653
2,R183W,Dactolisib,6,4,1,0.000762078951379363,81.6954445260838
2,R183W,Dactolisib,6,4,1,0.00228623685413809,82.0168993387215
2,R183W,Dactolisib,6,4,1,0.00685871056241427,72.639603232917
2,R183W,Dactolisib,6,4,1,0.0205761316872428,42.3861131520941
