CELLINE,CELLINE_NAME,DRUG_NAME,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV
1,WT,Erlotinib,6,3,1,0,80.41127081258
1,WT,Erlotinib,6,3,1,0.0266727632982777,102.163085242636
1,WT,Erlotinib,6,3,1,0.0800182898948331,95.6738295147289
1,WT,Erlotinib,6,3,1,0.240054869684499,115.952753664437
1,WT,Erlotinib,6,3,1,0.720164609053498,79.8562686779565
1,WT,Erlotinib,6,3,1,2.16049382716049,80.3045396328447
1,WT,Erlotinib,6,3,1,6.48148148148148,39.0209193112281
1,WT,Erlotinib,6,3,1,19.4444444444444,31.0587733029742
1,WT,Erlotinib,6,3,1,58.3333333333333,23.8650917888146
1,WT,Erlotinib,6,3,2,0,76.8464494094208
1,WT,Erlotinib,6,3,2,0.0266727632982777,90.2518855841753
1,WT,Erlotinib,6,3,2,0.0800182898948331,81.3505051942508
1,WT,Erlotinib,6,3,2,0.240054869684499,145.026327024335
1,WT,Erlotinib,6,3,2,0.720164609053498,76.5902945780561
1,WT,Erlotinib,6,3,2,2.16049382716049,111.704852710972
1,WT,Erlotinib,6,3,2,6.48148148148148,38.5726483563398
1,WT,Erlotinib,6,3,2,19.4444444444444,34.4101323466629
1,WT,Erlotinib,6,3,2,58.3333333333333,22.7977799914615
1,WT,Erlotinib,6,3,3,0,80.4753095204212
1,WT,Erlotinib,6,3,3,0.0266727632982777,80.1337697452683
1,WT,Erlotinib,6,3,3,0.0800182898948331,74.81855699445
1,WT,Erlotinib,6,3,3,0.240054869684499,162.935818983919
1,WT,Erlotinib,6,3,3,0.720164609053498,119.496228831649
1,WT,Erlotinib,6,3,3,2.16049382716049,99.0678810303117
1,WT,Erlotinib,6,3,3,6.48148148148148,36.2245624021631
1,WT,Erlotinib,6,3,3,19.4444444444444,36.0751387505337
1,WT,Erlotinib,6,3,3,58.3333333333333,26.2345239789384
1,WT,Erlotinib,4.5,3,1,0,107.493335254701
1,WT,Erlotinib,4.5,3,1,0.0266727632982777,116.096260537503
1,WT,Erlotinib,4.5,3,1,0.0800182898948331,105.288565458607
1,WT,Erlotinib,4.5,3,1,0.240054869684499,87.9314071618993
1,WT,Erlotinib,4.5,3,1,0.720164609053498,93.6811009438721
1,WT,Erlotinib,4.5,3,1,2.16049382716049,85.251098782333
1,WT,Erlotinib,4.5,3,1,6.48148148148148,39.6426255493912
1,WT,Erlotinib,4.5,3,1,19.4444444444444,32.3582390662151
1,WT,Erlotinib,4.5,3,1,58.3333333333333,25.6358527271417
1,WT,Erlotinib,4.5,3,2,0,98.5661791195331
1,WT,Erlotinib,4.5,3,2,0.0266727632982777,130.384033431803
1,WT,Erlotinib,4.5,3,2,0.0800182898948331,112.637798112256
1,WT,Erlotinib,4.5,3,2,0.240054869684499,207.940053317962
1,WT,Erlotinib,4.5,3,2,0.720164609053498,130.600187333381
1,WT,Erlotinib,4.5,3,2,2.16049382716049,88.6230996469486
1,WT,Erlotinib,4.5,3,2,6.48148148148148,78.8529432956265
1,WT,Erlotinib,4.5,3,2,19.4444444444444,45.176165429786
1,WT,Erlotinib,4.5,3,2,58.3333333333333,27.5380070610275
1,WT,Erlotinib,4.5,3,3,0,102.003026154622
1,WT,Erlotinib,4.5,3,3,0.0266727632982777,110.087182073636
1,WT,Erlotinib,4.5,3,3,0.0800182898948331,116.831183802868
1,WT,Erlotinib,4.5,3,3,0.240054869684499,125.304416744722
1,WT,Erlotinib,4.5,3,3,0.720164609053498,88.3853303552129
1,WT,Erlotinib,4.5,3,3,2.16049382716049,93.3784854816629
1,WT,Erlotinib,4.5,3,3,6.48148148148148,45.2410116002594
1,WT,Erlotinib,4.5,3,3,19.4444444444444,35.9680092225665
1,WT,Erlotinib,4.5,3,3,58.3333333333333,28.6187765689171
1,WT,Erlotinib,3,3,1,0,84.0547389761784
1,WT,Erlotinib,3,3,1,0.0266727632982777,85.7121135326913
1,WT,Erlotinib,3,3,1,0.0800182898948331,104.733907754688
1,WT,Erlotinib,3,3,1,0.240054869684499,102.620375063355
1,WT,Erlotinib,3,3,1,0.720164609053498,134.30816016219
1,WT,Erlotinib,3,3,1,2.16049382716049,64.500760263558
1,WT,Erlotinib,3,3,1,6.48148148148148,38.2412569690826
1,WT,Erlotinib,3,3,1,19.4444444444444,25.0734921439432
1,WT,Erlotinib,3,3,1,58.3333333333333,17.3796249366447
1,WT,Erlotinib,3,3,2,0,70.567663456665
1,WT,Erlotinib,3,3,2,0.0266727632982777,99.2752154080081
1,WT,Erlotinib,3,3,2,0.0800182898948331,70.0354789660416
1,WT,Erlotinib,3,3,2,0.240054869684499,63.0866700456158
1,WT,Erlotinib,3,3,2,0.720164609053498,153.375570197669
1,WT,Erlotinib,3,3,2,2.16049382716049,48.3071464774455
1,WT,Erlotinib,3,3,2,6.48148148148148,29.9391789153573
1,WT,Erlotinib,3,3,2,19.4444444444444,23.4921439432337
1,WT,Erlotinib,3,3,2,58.3333333333333,18.0638621388748
1,WT,Erlotinib,3,3,3,0,83.2336543335023
1,WT,Erlotinib,3,3,3,0.0266727632982777,121.626964014192
1,WT,Erlotinib,3,3,3,0.0800182898948331,95.9908768373036
1,WT,Erlotinib,3,3,3,0.240054869684499,115.043081601622
1,WT,Erlotinib,3,3,3,0.720164609053498,131.571211353269
1,WT,Erlotinib,3,3,3,2.16049382716049,77.5012671059301
1,WT,Erlotinib,3,3,3,6.48148148148148,40.886974151039
1,WT,Erlotinib,3,3,3,19.4444444444444,24.3740496705525
1,WT,Erlotinib,3,3,3,58.3333333333333,16.1784085149519
