CELLINE,DRUG,ADDITIVE,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV,CELLINE_DRUG_ADDITIVE,CELLINE_DRUG_ADDITIVE_ADDITIVECONC,CELLINE_DRUG_ADDITIVE_ADDITIVECONC_REPEAT,CELLINE_NAME,DRUG_NAME,ADDITIVE_NAME,CELLINE_DRUG_ADDITIVE_NAME
1,1,1,0,2,3,0.00228623685413809,1.27422228313005,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.00685871056241427,0.753528847471564,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.0205761316872428,0.586747978621351,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.0617283950617284,0.179114704673153,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.185185185185185,0.183637111141565,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.555555555555556,0.0986706865835275,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,1.66666666666667,0.0986021652734,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0,1.25071115973742,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.000762078951379363,1.14436542669584,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.00228623685413809,0.658424507658643,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.00685871056241427,0.828364332603939,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.0205761316872428,0.553063457330416,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.0617283950617284,0.344556892778993,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.185185185185185,0.217614879649891,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.555555555555556,0.17527352297593,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,1.66666666666667,0.146307439824945,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0,1.1656181619256,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.000762078951379363,1.10202407002188,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.00228623685413809,1.11031181619256,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.00685871056241427,0.867669584245077,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.0205761316872428,0.594912472647702,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.0617283950617284,0.384518599562363,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.185185185185185,0.279075492341357,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.555555555555556,0.26660284463895,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,1.66666666666667,0.174781181619256,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0,1.22658643326039,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.000762078951379363,0.956126914660831,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.00228623685413809,0.887527352297593,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.00685871056241427,0.615426695842451,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.0205761316872428,0.416028446389497,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.0617283950617284,0.249617067833698,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.185185185185185,0.261351203501094,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.555555555555556,0.183068927789934,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,1.66666666666667,0.168298687089716,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0,1.09200939362919,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0.000762078951379363,1.0296862768712,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0.00228623685413809,0.84660083097489,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0.00685871056241427,0.530920696092009,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0.0205761316872428,0.346299753116156,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0.0617283950617284,0.199343650267959,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0.185185185185185,0.144065755404348,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0.555555555555556,0.135756006503282,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,1.66666666666667,0.107123502137653,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,2,0,0.787258385018366,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,2,0.000762078951379363,1.03302824110315,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,2,0.00228623685413809,0.530649726019149,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,2,0.00685871056241427,0.520714156680918,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,2,0.0205761316872428,0.345757812970434,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,2,0.0617283950617284,0.190401637863552,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,2,0.185185185185185,0.146233515987234,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,2,0.555555555555556,0.118775215270669,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,2,1.66666666666667,0.108297705786716,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,3,0,1.03673149876558,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,3,0.000762078951379363,0.97865357981574,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,3,0.00228623685413809,0.960408261576444,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,3,0.00685871056241427,0.741916059492985,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,3,0.0205761316872428,0.364545071355453,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,3,0.0617283950617284,0.247485999879569,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,3,0.185185185185185,0.165472391160354,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,3,0.555555555555556,0.132414042271331,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,3,1.66666666666667,0.110555789727223,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,1,0,0.780213757193752,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,1,0.000762078951379363,0.726363387229378,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,1,0.00228623685413809,0.706714168265278,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,1,0.00685871056241427,0.626719649218964,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,1,0.0205761316872428,0.293998355713894,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,1,0.0617283950617284,0.205124691696355,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,1,0.185185185185185,0.136146889558783,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,1,0.555555555555556,0.103014524527268,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,1,1.66666666666667,0.0928199506714168,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,2,0,0.768374897232118,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,2,0.000762078951379363,0.753411893669499,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,2,0.00228623685413809,0.877308851740203,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,2,0.00685871056241427,0.496574403946287,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,2,0.0205761316872428,0.327870649493012,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,2,0.0617283950617284,0.172485612496574,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,2,0.185185185185185,0.133598246094821,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,2,0.555555555555556,0.104083310496026,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,2,1.66666666666667,0.0869005206906002,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,3,0,0.669388873664018,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,3,0.000762078951379363,0.633872293779118,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,3,0.00228623685413809,0.653110441216772,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,3,0.00685871056241427,0.54952041655248,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,3,0.0205761316872428,0.25798848999726,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,3,0.0617283950617284,0.174705398739381,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,3,0.185185185185185,0.110578240613867,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,3,0.555555555555556,0.0989860235681009,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,1,3,1.66666666666667,0.0887914497122499,1,2,5,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,1,0,0.61271778936855,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,1,0.000762078951379363,0.841171901009877,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,1,0.00228623685413809,0.746953723227167,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,1,0.00685871056241427,0.42907557429808,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,1,0.0205761316872428,0.246898235489957,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,1,0.0617283950617284,0.144889579402952,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,1,0.185185185185185,0.0961491510376207,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,1,0.555555555555556,0.0824991676839419,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,1,1.66666666666667,0.0600599267561869,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,2,0,0.776317833758739,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,2,0.000762078951379363,0.919609366330041,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,2,0.00228623685413809,0.794029519476196,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,2,0.00685871056241427,0.651470425036067,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,2,0.0205761316872428,0.456974808567307,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,2,0.0617283950617284,0.126112529131062,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
